"uuid","magical_power","level","networth"
"02ab950657944e3b860be7589050f87e",992,303.66,"7,714,070,178.93"
"02acd71ce8ce440198786708d37dfcd4",1732,424.39,"52,821,724,901.13"
"02af840b0ffc4e1b97db900005d22f2b",149,42.81,"64,536,268.97"
"02b1617432f845f29f102d5cf1d7cf5b",443,134.81,"700,877,224.09"
"000113304a8f44b78667a1957e4a70b4",350,58.77,"1,028,761,644.63"
"00018c3cfc5e4dc6869cdfd13195a014",324,138.68,"1,806,627,881.31"
"0001faf5d27b4282b07f71f87339e336",901,262.39,"7,781,040,785.69"
"00021dd2785a4ed2a10e65d12d5875a6",1666,354.8,"127,509,847,649.58"
"000390850a644fa2af881d3ff1e38f0e",1346,285.82,"13,539,939,532.59"
"00071d88154f4f1cb2126b90e75409e2",588,114.34,"931,054,633.94"
